year,office_type,state,party_winner,electoral_votes,district
1000,President,AL,R,9,0
1000,President,AK,R,3,0
1000,President,AZ,N,11,0
1000,President,AR,R,6,0
1000,President,CA,D,55,0
1000,President,CO,D,9,0
1000,President,CT,D,7,0
1000,President,DE,D,3,0
1000,President,FL,R,29,0
1000,President,GA,N,16,0
1000,President,HI,D,4,0
1000,President,ID,R,4,0
1000,President,IL,D,20,0
1000,President,IN,R,11,0
1000,President,IA,R,6,0
1000,President,KS,R,6,0
1000,President,KY,R,8,0
1000,President,LA,R,8,0
1000,President,ME,D,2,0
1000,President,ME,D,1,1
1000,President,ME,R,1,2
1000,President,MD,D,10,0
1000,President,MA,D,11,0
1000,President,MI,N,16,0
1000,President,MN,D,10,0
1000,President,MS,R,6,0
1000,President,MO,R,10,0
1000,President,MT,R,3,0
1000,President,NE,R,2,0
1000,President,NE,R,1,1
1000,President,NE,D,1,2
1000,President,NE,R,1,3
1000,President,NV,N,6,0
1000,President,NH,D,4,0
1000,President,NJ,D,14,0
1000,President,NM,D,5,0
1000,President,NY,D,29,0
1000,President,NC,N,15,0
1000,President,ND,R,3,0
1000,President,OH,R,18,0
1000,President,OK,R,7,0
1000,President,OR,D,7,0
1000,President,PA,N,20,0
1000,President,RI,D,4,0
1000,President,SC,R,9,0
1000,President,SD,R,3,0
1000,President,TN,R,11,0
1000,President,TX,R,38,0
1000,President,UT,R,6,0
1000,President,VT,D,3,0
1000,President,VA,D,13,0
1000,President,WA,D,12,0
1000,President,WV,R,5,0
1000,President,WI,N,10,0
1000,President,WY,R,3,0